DATAFLOW,REF_AREA,COMMODITY,TRANSACTION,UNIT,TIME_PERIOD,OBS_VALUE,ESTIMATE,FOOTNOTES,UNIT_MULT
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2002,464.40000000000003,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2003,748.2,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2004,774,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2005,774,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2006,774,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2007,774,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2008,837.726,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2009,825.6,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2010,753.36,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2011,933.9600000000002,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2012,882.3600000000001,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2013,843.6600000000001,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2014,632.1,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2015,709.758,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2016,583.08,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2017,554.7,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2018,732.72,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2019,781.74,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2020,645,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2021,180.6,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B00_CL,B51_1234,HSO,2022,516,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,1991,301,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,1992,301,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,1993,344,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,1994,344,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,1995,387,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,2020,279.5,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,2021,253.70000000000002,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B48_1232,HSO,2022,313.9,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2015,15.609,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2016,19.392999999999997,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2017,20.811999999999998,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2020,739.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2021,679.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B49_1235,HSO,2022,834.1999999999999,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1991,627.2,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1992,627.2,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1993,714.8,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1994,802.3999999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1995,802.3999999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1996,846.2,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1997,846.2,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1998,1119.5554779999998,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,1999,1679.1139999999998,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2000,1151.2359999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2001,711.221,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2002,783.491,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2003,878.9749999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2004,925.4899999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2005,821.6839999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2006,815.1099999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2007,741.088,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2008,740.912,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2009,597.6859999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2010,481.61599999999993,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2011,472.33000000000004,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2012,337.076,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2013,170.986,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2014,167.832,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2015,33.567,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2016,50.087999999999994,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2017,43.14999999999999,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2018,139.71159999999998,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),454,B03_OP,B50_1231,HSO,2019,140.85,N,,0
