district,reside,Share_Male
Balaka,rural,0.45964125560538116
Balaka,urban,0.5227272727272727
Blantyre,rural,0.44510385756676557
Blantyre City,urban,0.5826086956521739
Chikwawa,rural,0.4726477024070022
Chikwawa,urban,0.5
Chiradzulu,rural,0.45396825396825397
Chitipa,rural,0.4887640449438202
Chitipa,urban,0.4523809523809524
Dedza,rural,0.45161290322580644
Dedza,urban,0.43478260869565216
Dowa,rural,0.4872448979591837
Dowa,urban,0.5
Karonga,rural,0.5102639296187683
Karonga,urban,0.5783132530120482
Kasungu,rural,0.4830827067669173
Kasungu,urban,0.4444444444444444
Likoma,rural,0.4782608695652174
Lilongwe,rural,0.4863013698630137
Lilongwe City,urban,0.5656742556917689
Machinga,rural,0.44493392070484583
Machinga,urban,0.38461538461538464
Mangochi,rural,0.4411764705882353
Mangochi,urban,0.5806451612903226
Mchinji,rural,0.4899193548387097
Mchinji,urban,0.5294117647058824
Mulanje,rural,0.4604966139954853
Mwanza,rural,0.4481707317073171
Mwanza,urban,0.4722222222222222
Mzimba,rural,0.4713375796178344
Mzuzu City,urban,0.5442359249329759
Neno,rural,0.4677871148459384
Nkhatabay,rural,0.509493670886076
Nkhatabay,urban,0.4
Nkhotakota,rural,0.5023923444976076
Nkhotakota,urban,0.6428571428571429
Nsanje,rural,0.4618937644341801
Nsanje,urban,0.46153846153846156
Ntcheu,rural,0.4519906323185012
Ntcheu,urban,0.4782608695652174
Ntchisi,rural,0.4742990654205608
Ntchisi,urban,0.5384615384615384
Phalombe,rural,0.4620123203285421
Rumphi,rural,0.5275862068965518
Rumphi,urban,0.5357142857142857
Salima,rural,0.47575057736720555
Salima,urban,0.5
Thyolo,rural,0.44212962962962965
Thyolo,urban,0.5
Zomba City,urban,0.4953271028037383
Zomba Non-City,rural,0.45036319612590797
