district,reside,Share_Female
Balaka,rural,0.5403587443946188
Balaka,urban,0.4772727272727273
Blantyre,rural,0.5548961424332344
Blantyre City,urban,0.41739130434782606
Chikwawa,rural,0.5273522975929978
Chikwawa,urban,0.5
Chiradzulu,rural,0.546031746031746
Chitipa,rural,0.5112359550561798
Chitipa,urban,0.5476190476190477
Dedza,rural,0.5483870967741935
Dedza,urban,0.5652173913043478
Dowa,rural,0.5127551020408163
Dowa,urban,0.5
Karonga,rural,0.4897360703812317
Karonga,urban,0.42168674698795183
Kasungu,rural,0.5169172932330827
Kasungu,urban,0.5555555555555556
Likoma,rural,0.5217391304347826
Lilongwe,rural,0.5136986301369864
Lilongwe City,urban,0.4343257443082312
Machinga,rural,0.5550660792951542
Machinga,urban,0.6153846153846154
Mangochi,rural,0.5588235294117647
Mangochi,urban,0.41935483870967744
Mchinji,rural,0.5100806451612904
Mchinji,urban,0.47058823529411764
Mulanje,rural,0.5395033860045146
Mwanza,rural,0.551829268292683
Mwanza,urban,0.5277777777777778
Mzimba,rural,0.5286624203821656
Mzuzu City,urban,0.45576407506702415
Neno,rural,0.5322128851540616
Nkhatabay,rural,0.49050632911392406
Nkhatabay,urban,0.6
Nkhotakota,rural,0.49760765550239233
Nkhotakota,urban,0.35714285714285715
Nsanje,rural,0.5381062355658198
Nsanje,urban,0.5384615384615384
Ntcheu,rural,0.5480093676814989
Ntcheu,urban,0.5217391304347826
Ntchisi,rural,0.5257009345794392
Ntchisi,urban,0.46153846153846156
Phalombe,rural,0.5379876796714579
Rumphi,rural,0.4724137931034483
Rumphi,urban,0.4642857142857143
Salima,rural,0.5242494226327945
Salima,urban,0.5
Thyolo,rural,0.5578703703703703
Thyolo,urban,0.5
Zomba City,urban,0.5046728971962616
Zomba Non-City,rural,0.549636803874092
