case_id,hh_f11,hh_f11_oth,hh_f12,hh_f19,hh_f25,hh_f26a,hh_f26b,ea_lat_mod,ea_lon_mod,Air circulation,Air conditioner,Iron,Radio,Refrigerator,Television,Washing machine,Electricity,region,reside,hh_wgt,Number of household members,Wealth index factor score for urban/rural (5 decimals),Type of place of residence,Household sample weight (6 decimals),Energy Use
101011000014,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,4,229852.0,2.0,93719400,0.0
101011000023,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,4,84176.0,2.0,93719400,0.0
101011000040,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,93.71939961,4,-61065.0,2.0,93719400,4.0
101011000115,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,2,-11276.0,2.0,93719400,0.0
101011000126,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,93.71939961,3,120313.0,2.0,93719400,3.5652049159320067
101011000135,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,93.71939961,7,104253.0,2.0,93719400,5.003515054281687
101011000183,BATTERY/DRY CELL(TORCH),,CHARCOAL,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,93.71939961,5,265446.0,2.0,93719400,4.3734482957731124
101011000190,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,6,-131362.0,2.0,93719400,0.0
101011000254,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,3,-109588.0,2.0,93719400,0.0
101011000258,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,93.71939961,5,398421.0,2.0,93719400,0.0
101011000260,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.70057010650635,33.2391700744629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,93.71939961,4,321923.0,2.0,93719400,4.0
101011010006,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,113.32593032,7,300149.0,2.0,113325930,5.003515054281687
101011010026,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.32593032,8,-33051.0,2.0,113325930,0.0
101011010046,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.32593032,3,249889.0,2.0,113325930,0.0
101011010074,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.32593032,3,-11276.0,2.0,113325930,0.0
101011010092,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,113.32593032,7,-109588.0,2.0,113325930,0.0
101011010129,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,113.32593032,8,5942.0,2.0,113325930,5.278031643091577
101011010149,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.64535999298096,33.3201599121094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,113.32593032,1,151617.0,2.0,113325930,2.2973967099940698
101011020088,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71450996398926,33.2912483215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,144.9634850335,3,318634.0,2.0,144963485,0.0
101011020106,BATTERY/DRY CELL(TORCH),,CHARCOAL,NO,,,,-9.71450996398926,33.2912483215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,144.9634850335,5,-49956.0,2.0,144963485,0.0
101011020269,ELECTRICITY,,CHARCOAL,YES,5000.0,1.0,MONTH,-9.71450996398926,33.2912483215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,North,rural,144.9634850335,7,289483.0,2.0,144963485,0.0
101011030005,BATTERY/DRY CELL(TORCH),,CHARCOAL,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,1,131422.0,2.0,117410493,0.0
101011030012,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,1,-109588.0,2.0,117410493,0.0
101011030019,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,117.4104934725,3,-61065.0,2.0,117410493,3.5652049159320067
101011030026,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,9,71791.0,2.0,117410493,0.0
101011030034,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,4,-42581.0,2.0,117410493,0.0
101011030072,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,5,-33051.0,2.0,117410493,0.0
101011030079,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,4,103095.0,2.0,117410493,0.0
101011030087,OTHER(SPECIFY),SOLAR,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,3,182882.0,2.0,117410493,0.0
101011030100,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,6,185738.0,2.0,117410493,0.0
101011030107,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,6,204262.0,2.0,117410493,0.0
101011030114,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.71765041351318,33.3931312561035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,117.4104934725,1,84571.0,2.0,117410493,0.0
