,HH_urban,HH_rural,HH_total,totalBuildings,urbanBuildings,ruralBuildings,shareRuralBuild,shareUrbanBuild,shareUrbanResBui,shareRuralResBui,resUrbanBui,resRuralBui,resTotalBui,nbOfHHperResBui_average,HHwithAccess_urb,HHwithAccess_rur,HHwithAccess,HHwithAccess_urb_wostatus,HHwithAccess_rur_wostatus,HHwithAccess_wostatus,accessRateHH,accessRateHH_urban,accessRateHH_rural
Balaka,11436.0,90139.0,101575.0,269981.0,24769.0,245212.0,0.9082565069393772,0.09174349306062278,0.4197328772402453,0.3675962024696997,10396.363636363636,90139.0,100535.36363636363,1.0103410016737666,8447.955196517523,17861.191705463632,26309.146901981156,10761.513000405854,20008.373387083204,30769.88638748906,0.25901202955433084,0.7387159143509552,0.19815165139910174
Blantyre,191682.0,109963.0,301645.0,516276.0,327898.0,188378.0,0.3648784758540006,0.6351215241459994,0.5314346645492306,0.5837358927263269,174256.36363636362,109963.0,284219.36363636365,1.0613105178362552,155552.46908066393,48318.745880240014,203871.21496090395,188958.7853885571,48866.423517961324,237825.2089065184,0.6758647249611429,0.8115131784970103,0.43940912743595584
Chikwawa,2961.0,124240.0,127201.0,316177.0,18857.0,297320.0,0.940359355677358,0.059640644322642065,0.14274901531623174,0.4178662720301359,2691.818181818182,124240.0,126931.81818181818,1.0021206803939122,1285.2835306055183,35218.08648620835,36503.37001681387,2347.5339658092307,37297.4376918377,39644.97165764693,0.2869739232931649,0.4340707634601548,0.2834681784144265
Chiradzulu,751.0,89800.0,90551.0,240194.0,41833.0,198361.0,0.8258366154025496,0.1741633845974504,0.016320303892316416,0.4527099581066843,682.7272727272726,89800.0,90482.72727272728,1.0007545387869106,443.0508112842896,36397.3010877315,36840.35189901579,654.7574151212099,36868.958486920565,37523.715902041775,0.4068464390124437,0.5899478179551126,0.40531515687896996
Chitipa,3751.0,45910.0,49661.0,167110.0,16684.0,150426.0,0.9001615702232063,0.09983842977679373,0.20438743706545193,0.30519989895363836,3410.0,45910.00000000001,49320.00000000001,1.0069140308191402,2274.292815062209,5339.3227436775105,7613.61555873972,3440.8480055785362,6603.852535036842,10044.700540615378,0.15331176494109502,0.6063163996433508,0.11629977659937944
Dedza,7299.0,188704.0,196003.0,511073.0,0.0,511073.0,1.0,0.0,inf,0.36923101005140163,,188704.0,,,0.0,25239.46246051063,25239.46246051063,0.0,29561.33082981667,29561.33082981667,0.12877079667408473,0.0,0.13375160283041498
Dowa,7227.0,169025.0,176252.0,526310.0,0.0,526310.0,1.0,0.0,inf,0.32115103266135925,,169025.0,,,0.0,27370.508430973885,27370.508430973885,0.0,31557.23742545911,31557.23742545911,0.15529190267897036,0.0,0.16193171679321924
Karonga,12650.0,62303.0,74953.0,159099.0,81658.0,77441.0,0.48674724542580405,0.513252754574196,0.14083127189007813,0.8045221523482393,11500.0,62303.0,73803.0,1.015582022411013,3818.836520656211,12161.038678953968,15979.87519961018,7658.433454530879,13485.340633548656,21143.77408807953,0.21319860712193214,0.30188430993329735,0.1951918636173855
Kasungu,24880.0,154804.0,179684.0,544905.0,26015.0,518890.0,0.9522577329993301,0.047742267000669844,0.8694284765781978,0.2983368343965002,22618.181818181816,154804.0,177422.18181818182,1.012748226623298,16459.7928446922,15678.079565714886,32137.87241040709,22623.38281942279,19592.16601128267,42215.548830705455,0.17885773029544694,0.6615672365229984,0.10127696678196227
Likoma,263.0,2629.0,2892.0,2566.0,0.0,2566.0,1.0,0.0,inf,1.024551831644583,,2629.0,,,0.0,0.0,0.0,0.0,164.63860209529383,164.63860209529383,0.0,0.0,0.0
